track_id,artist_name,title,loudness,tempo,time_signature,key,mode,duration,song_hotttnesss,year
TRAAAAW128F429D538,Casual,I Didn't Mean To,-11.197,92.198,4,1,0,218.93179,0.60211999,0
TRAAABD128F429CF47,The Box Tops,Soul Deep,-9.843,121.274,4,6,0,148.03546,nan,1969
TRAAADZ128F9348C2E,Sonora Santanera,Amor De Cabaret,-9.689,100.07,1,8,1,177.47546,nan,0
TRAAAEF128F4273421,Adam Ant,Something Girls,-9.013,119.293,4,0,1,233.40363,nan,1982
TRAAAFD128F92F423A,Gob,Face the Ashes,-4.501,129.738,4,2,1,209.60608,0.604500739,2007
TRAAAMO128F1481E7F,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),-9.323,147.782,3,5,1,267.7024,nan,0
TRAAAMQ128F1460CD3,Rated R,Keepin It Real (Skit),-17.302,111.787,1,1,1,114.78159,nan,0
TRAAAPK128E0786D96,Tweeterfriendly Music,Drop of Rain,-11.642,101.43,3,4,0,189.57016,nan,0
TRAAARJ128F9320760,Planet P Project,Pink World,-13.496,86.643,4,4,1,269.81832,0.265861049,1984
TRAAAVG12903CFA543,Clp,Insatiable (Instrumental Version),-6.697,114.041,4,7,0,266.39628,nan,0
TRAAAVO128F93133D4,JennyAnyKind,Young Boy Blues,-10.021,146.765,1,5,0,218.77506,0,0
TRAABCL128F4286650,Wayne Watson,The Urgency (LP Version),-7.545,117.975,4,7,1,245.21098,0.265861049,0
TRAABDL12903CAABBA,Andy Andy,La Culpa,-6.632,130.04,4,9,1,226.35057,0,0
TRAABJL12903CDCF1A,Bob Azzam,Auguri Cha Cha,-7.75,137.334,1,10,0,191.84281,0,0
TRAABJV128F1460C49,Lionel Richie,Tonight Will Be Alright,-8.346,125.197,3,3,1,307.3824,nan,1986
TRAABLR128F423B7E3,Blue Rodeo,Floating,-8.576,119.826,4,7,1,491.12771,0.405115722,1987
TRAABNV128F425CEE1,Richard Souther,High Tide,-16.11,127.756,5,8,1,228.5971,0.334706549,0
TRAABRB128F9306DD5,Faiz Ali Faiz,Sohna Nee Sohna Data,-8.032,99.273,4,6,1,599.24853,nan,0
TRAABVM128F92CA9DC,Tesla,Caught In A Dream,-5.271,150.062,4,7,1,290.29832,0.684136191,2004
TRAABXG128F9318EBD,lextrical,Synthetic Dream,-6.787,138.331,4,7,1,165.69424,0,0
TRAABYN12903CFD305,Jimmy Wakely,Broken-Down Merry-Go-Round,-15.221,86.186,3,1,1,151.84934,nan,0
TRAABYW128F4244559,Alice Stuart,Kassie Jones,-8.514,110.382,1,11,1,220.78649,0,0
TRAACCG128F92E8A55,Elena,Setanta matins,-8.05,111.874,4,2,1,269.58322,0.313562114,0
TRAACER128F4290F96,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,-4.264,166.862,4,7,1,207.77751,0.666527846,2004
TRAACFV128F935E50B,SUE THOMPSON,James (Hold The Ladder Steady),-12.332,137.522,4,10,1,124.86485,0.495293621,1985
TRAACHN128F1489601,Five Bolt Main,Made Like This (Live),-5.908,164.672,1,7,1,225.09669,0.375984302,0
TRAACIW12903CC0F6D,Clp,Superconfidential,-6.486,125.006,4,6,0,338.31138,nan,0
TRAACLV128F427E123,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),-4.516,90.022,1,5,1,186.48771,nan,2005
TRAACNS128F14A2DF5,Willie Bobo,Spanish Grease,-9.616,127.025,4,8,1,168.25424,nan,1997
TRAACOW128F933E35F,Faye Adams,Crazy Mixed Up World,-18.051,95.957,3,8,1,156.39465,0,1961
TRAACPE128F421C1B9,Terry Callier,Do You Finally Need A Friend,-11.939,110.189,3,6,1,342.56934,0.413739836,1972
TRAACQT128F9331780,John Wesley,The Emperor Falls,-15.335,138.007,4,4,0,484.62322,0.377531645,0
TRAACSL128F93462F4,The Shangri-Las,Twist and Shout,-10.922,130.1,1,10,1,164.80608,0.443291312,1964
TRAACTB12903CAAF15,Billie Jo Spears,It Makes No Difference Now,-9.983,160.839,1,4,1,133.32853,0,1992
TRAACVS128E078BE39,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),-7.762,41.993,1,7,1,173.66159,nan,0
TRAACZK128F4243829,Sierra Maestra,¿Dónde va Chichi?,-9.512,189.646,3,9,1,313.12934,nan,1997
TRAADDS128F425C68B,Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",-9.063,130.586,4,4,0,450.84689,0.593943076,0
TRAADED128F42741FD,Despina Vandi,OUTE ENA EFHARISTO,-8.879,128.292,4,8,0,303.09832,nan,0
TRAADEV128F9348C0A,Javier Navarrete,Midnight Swim,-17.699,90.932,3,3,1,128.83546,0.394394856,0
TRAADHS12903CE70A9,Jacob Young,In A Subtle Way,-19.478,89.667,4,1,1,456.30649,0,0
TRAADIV12903CB15C1,Scarlet's Remains,Spin,-7.469,115.061,4,7,1,198.73914,0.450992312,2007
TRAADLH12903CA70EE,The Suicide Machines,Burning In The Aftermath,-2.022,115.887,4,2,1,95.68608,0.528782481,2003
TRAADLN128F14832E9,The Rolling Stones,Angie (1993 Digital Remaster),-10.358,139.333,1,9,0,271.49016,0.83449262,0
TRAADLR12903CF8D7E,Roberto Torres,Sabor Guajiro,-12.716,117.271,4,0,1,226.66404,0,0
TRAADLX128F1469250,Loudon Wainwright III,Human Cannonball,-15.663,102.428,4,3,1,190.48444,0.510119314,1995
TRAADMH128F9343E59,R.L. Burnside,Glory Be,-6.944,89.984,4,2,1,277.78567,0.482137585,2004
TRAADNA128F9331246,Stevie Ray Vaughan,Crossfire,-7.805,116.721,4,1,1,248.78975,nan,1992
TRAADOF12903CAA1C1,John Hammond,I Can't Be Satisfied,-10.7,123.142,4,7,1,195.3171,nan,2002
TRAADQX128F422B4CF,Casiotone For The Painfully Alone,Nashville Parthenon,-10.93,141.919,4,0,1,175.72526,0.785892288,2006
TRAADRN128F932D607,Ec8or,Cocain Ducks,-9.493,95.596,4,10,0,217.23383,nan,1995
TRAADVH128EF34DE7A,The New York Dolls,Human Being,-9.253,154.953,1,11,1,344.05832,0.561692411,1974
TRAADYB128F92D7E73,Eliane Elias,The More I See You,-12.009,86.091,5,7,1,251.42812,0.43483809,2009
TRAADYI128E078FB38,Lost Boyz,Certain Things We Do,-11.043,90.218,4,7,1,269.7922,0.405115722,1997
TRAAEAM128F934B199,The Germs,Forming,-11.506,133.144,1,11,0,206.05342,nan,1977
TRAAEDJ12903CCE390,Yamandu Costa,Mafuá,-14.179,205.317,4,2,1,190.04036,nan,0
TRAAEEH128E0795DFE,Chris Rea,Driving Home For Christmas,-8.531,180.149,4,9,1,241.162,0.767727748,1986
TRAAELO128F9302DD1,Perrey And Kingsley,Spooks In Space,-8.541,102.538,4,0,0,122.64444,0.43483809,1966
TRAAEMJ128F425A917,Eurythmics,Tous Les Garçons Et Les Filles,-6.629,84.164,4,0,1,207.0722,0.38293509,1985
TRAAENC128F1451DE9,Francis Dunnery,Too Much Saturn,-13.33,124.175,4,7,1,300.79955,0.610474258,1995
TRAAENP128F147BF32,John Cale,Movement 4 [from Kiss] (Album Version),-12.412,137.004,1,7,1,228.46649,0.226555314,1997
TRAAEOU128F9309DE0,Suzanne Ciani,Stream,-21.552,106.33,4,7,1,239.59465,0.415983118,0
TRAAERU128F930674F,Vickie Winans,Make Me Over,-8.686,107.961,4,11,0,228.93669,nan,0
TRAAEUB12903CDD3EA,The Berzerker,Deform (live),-6.222,174.287,3,1,1,165.61587,0,2000
TRAAEWG128F930B3A4,Kings Of Leon,Wicker Chair,-5.907,116.823,4,0,1,187.92444,0.685940227,2003
TRAAEXM128F92D47C8,Edith Lefel,An ti chans',-4.638,101.972,4,0,1,276.50567,0,0
TRAAFEB128F92F8694,Taras,I Will Love Again (JJ's Club Radio),-5.884,127.97,4,11,0,200.25424,nan,0
TRAAFJW128F428A424,NOFX,Stickin In My Eye,-7.787,152.622,4,4,0,144.50893,0.671236027,1992
TRAAFKJ12903D02552,Murskahumppa,Ota kiinni,-8.488,110.787,3,7,1,285.17832,nan,0
